"name","value","type_cd","step_wid","datatype","context_type","inactive_flag","comments","version_id"
"$$LAST_ARCHIVE_DATE","2021-08-01","Informatica parameters","B98CE2F63BF4286ED30AB9FEC9C686","Text","Both","N","","1"
"$$TYPE2_FLG","Y","Informatica parameters","B98CE2F63BF4286ED30AB9FEC9C686","Text","Both","N","","1"
